PMI_ID,Action,Success,Error,Last_Modified_Time
P00000123,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:01
P00000124,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:02
P00000125,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:02
P00000126,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:02
P00000127,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:03
P00000128,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:03
P00000129,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:03
P00000130,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:04
P00000132,Create,0,Error message:Email: invalid email address: 敆湲ke@gmail.com,2019-05-15 21:56:04
P00000133,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:04
P00000134,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:04
P00000135,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:04
P00000136,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:05
P00000137,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:06
P00000138,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:06
P00000139,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:06
P00000140,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:06
P00000141,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:07
P00000142,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:07
P00000143,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:08
P00000144,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:08
P00000145,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:08
P00000146,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:09
P00000148,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:09
P00000149,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:09
P00000150,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:09
P00000151,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:09
P00000152,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:10
P00000153,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:10
P00000154,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-15 21:56:10
